country_code,region_name,iata,icao,airport,latitude,longitude
US,Tennessee,PHT,KPHT,Henry County Airport,36.3382,-88.3829
US,Tennessee,RKW,KRKW,Rockwood Municipal Airport,35.9223,-84.6897
US,Tennessee,RNC,KRNC,Warren County Memorial Airport,35.6987,-85.8438
US,Tennessee,SYI,KSYI,Shelbyville Municipal Airport (Bomar Field),35.5601,-86.4425
US,Tennessee,THA,KTHA,Tullahoma Regional Airport (William Northern Field),35.3801,-86.2464
US,Tennessee,TRI,KTRI,Tri-Cities Regional Airport,36.4752,-82.4074
US,Tennessee,TYS,KTYS,McGhee Tyson Airport,35.811,-83.994
US,Tennessee,UCY,KUCY,Everett-Stewart Regional Airport,36.3818,-88.9854
US,Tennessee,UOS,KUOS,Franklin County Airport,35.2051,-85.8981
US,Texas,ABI,KABI,Abilene Regional Airport,32.4113,-99.6819
US,Texas,ACT,KACT,Waco Regional Airport,31.6113,-97.2305
US,Texas,ADS,KADS,Addison Airport,32.9686,-96.8364
US,Texas,AFW,KAFW,Fort Worth Alliance Airport,32.9876,-97.3188
US,Texas,ALE,,Alpine-Casparis Municipal Airport,30.3842,-103.684
US,Texas,ALI,KALI,Alice International Airport,27.7409,-98.0269
US,Texas,AMA,KAMA,Rick Husband Amarillo International Airport,35.2194,-101.706
US,Texas,ASL,KASL,Harrison County Airport,32.5205,-94.3078
US,Texas,AUS,KAUS,Austin-Bergstrom International Airport,30.1945,-97.6699
US,Texas,BBC,KBYY,Bay City Municipal Airport,28.9733,-95.8635
US,Texas,BBD,KBBD,Curtis Field,31.1793,-99.3239
US,Texas,BGD,KBGD,Hutchinson County Airport,35.7009,-101.394
US,Texas,BIF,KBIF,Biggs Army Airfield,31.8495,-106.38
US,Texas,BKD,KBKD,Stephens County Airport,32.719,-98.891
US,Texas,BMT,KBMT,Beaumont Municipal Airport,30.0707,-94.2158
US,Texas,BPT,KBPT,Jack Brooks Regional Airport,29.9508,-94.0207
US,Texas,BRO,KBRO,Brownsville/South Padre Island International Airport,25.9068,-97.4259
US,Texas,BWD,KBWD,Brownwood Regional Airport,31.7936,-98.9565
US,Texas,BZT,,Eagle Air Park,28.9822,-95.5797
US,Texas,CCG,,Crane County Airport,31.4151,-102.363
US,Texas,CDS,KCDS,Childress Municipal Airport,34.4338,-100.288
US,Texas,CFD,KCFD,Coulter Field,30.7157,-96.3314
US,Texas,CLL,KCLL,Easterwood Airport (Easterwood Field),30.5886,-96.3638
US,Texas,CNW,KCNW,TSTC Waco Airport,31.6378,-97.0741
US,Texas,COM,KCOM,Coleman Municipal Airport,31.8411,-99.4036
US,Texas,COT,KCOT,Cotulla-La Salle County Airport,28.4567,-99.2203
